new concept
removed,firnkorn,2017-03-08 14:57:29 +0100,:AD,skos:broader,,:Adenokarzinome
removed,firnkorn,2017-03-08 14:57:29 +0100,:AD,skos:notation,"",ICD-O-3:8140/3
removed,firnkorn,2017-03-08 14:57:29 +0100,:AD,skos:prefLabel,de,Adenokarzinom (AD)
removed,firnkorn,2017-03-08 14:57:29 +0100,:AD,skos:prefLabel,en,Adenocarcinoma (AD)
added,Stöhr,2017-04-18 11:46:56 +0200,:AD,skos:broader,,:Adenokarzinome
added,Stöhr,2017-04-18 11:46:56 +0200,:AD,skos:notation,"",ICD-O-3:8140/3
added,Stöhr,2017-04-18 11:46:56 +0200,:AD,skos:prefLabel,de,Adenokarzinom
added,Stöhr,2017-04-18 11:46:56 +0200,:AD,skos:prefLabel,en,Adenocarcinoma
added,Helm,2017-10-04 10:12:29 +0200,:AD,skos:prefLabel,en,Adenocarcinoma n.o.s.
removed,Helm,2017-10-04 10:12:29 +0200,:AD,skos:prefLabel,en,Adenocarcinoma
new concept
added,Stöhr,2017-04-18 11:46:56 +0200,:ADazinaer,rdf:type,,skos:Concept
added,Stöhr,2017-04-18 11:46:56 +0200,:ADazinaer,skos:broader,,:Adenokarzinome
added,Stöhr,2017-04-18 11:46:56 +0200,:ADazinaer,skos:notation,"",ICD-O-3:8550/3
added,Stöhr,2017-04-18 11:46:56 +0200,:ADazinaer,skos:prefLabel,de,Azinäres Adenokarzinom
added,Stöhr,2017-04-18 11:46:56 +0200,:ADazinaer,skos:prefLabel,en,Acinar adenocacinoma
new concept
added,firnkorn,2017-02-27 11:29:52 +0100,:ADazinaerHD,rdf:type,,skos:Concept
added,firnkorn,2017-02-27 11:29:52 +0100,:ADazinaerHD,skos:broader,,:AdenokarzinomeHD
added,firnkorn,2017-02-27 11:29:52 +0100,:ADazinaerHD,skos:notation,"",ICD-O-3:8550/3
added,firnkorn,2017-02-27 11:29:52 +0100,:ADazinaerHD,skos:prefLabel,de,Azinäres Adenokarzinom
